Gene Name,Index
4933433G15Rik,955
4933433G19Rik,956
4933433H22Rik,957
4933434E20Rik,958
4933434M16Rik,959
4933438A12Rik,960
4933438B17Rik,961
4933439C10Rik,962
4933439K11Rik,963
4933439N14Rik,964
4933440M02Rik,965
5031425E22Rik,966
5031425F14Rik,967
5031434C07Rik,968
5031434O11Rik,969
5031439G07Rik,970
5033403F01Rik,971
5033406O09Rik,972
5033417F24Rik,973
5033421B08Rik,974
5033426E14Rik,975
5033426O07Rik,976
5033428I22Rik,977
5033430I15Rik,978
5330411J11Rik,979
5330411O13Rik,980
5330413D20Rik,981
5330413P13Rik,982
5330416C01Rik,983
5330417C22Rik,984
5330429C05Rik,985
5330434G04Rik,986
5330438D12Rik,987
5330438I03Rik,988
5330439A09Rik,989
5330439K02Rik,990
5330439M10Rik,991
5430400D12Rik,992
5430401H09Rik,993
5430402O13Rik,994
5430403G16Rik,995
5430403N17Rik,996
5430405H02Rik,997
5430414B19Rik,998
5430416N02Rik,999
5430419D17Rik,1000
5430421F17Rik,1001
5430425K12Rik,1002
5430427N15Rik,1003
5430427O19Rik,1004
5430431A17Rik,1005
5430440P10Rik,1006
5530400C23Rik,1007
5530401A14Rik,1008
5530601H04Rik,1009
5730403I07Rik,1010
5730405O15Rik,1011
5730409E04Rik,1012
5730412P04Rik,1013
5730414N17Rik,1014
5730419F03Rik,1015
5730420D15Rik,1016
5730435O14Rik,1017
5730437C11Rik,1018
5730455P16Rik,1019
5730480H06Rik,1020
5730507C01Rik,1021
5730522E02Rik,1022
5830405F06Rik,1023
5830408C22Rik,1024
5830411N06Rik,1025
5830416I19Rik,1026
5830418P13Rik,1027
5830428M24Rik,1028
5830432E09Rik,1029
5830444B04Rik,1030
5830448L01Rik,1031
5830454E08Rik,1032
5830468F06Rik,1033
5830487J09Rik,1034
5930403N24Rik,1035
5930430L01Rik,1036
5930435M05Rik,1037
5930438M14Rik,1038
6030407O03Rik,1039
6030442K20Rik,1040
6030443J06Rik,1041
6030445D17Rik,1042
6030458C11Rik,1043
6030466F02Rik,1044
6030468B19Rik,1045
6030469F06Rik,1046
6030498E09Rik,1047
6230400D17Rik,1048
6330403K07Rik,1049
6330403L08Rik,1050
6330408M09Rik,1051
6330409D20Rik,1052
6330410L21Rik,1053
6330411D24Rik,1054
6330415G19Rik,1055
6330418K02Rik,1056
6330420H09Rik,1057
6330562C20Rik,1058
6330576A10Rik,1059
6430503K07Rik,1060
6430531B16Rik,1061
6430548M08Rik,1062
6430550D23Rik,1063
6430553K19Rik,1064
6430562O15Rik,1065
6430571L13Rik,1066
6430573P05Rik,1067
6430584L05Rik,1068
6430590A07Rik,1069
6430628N08Rik,1070
6430710C18Rik,1071
6530401F13Rik,1072
6530402F18Rik,1073
6530403H02Rik,1074
6530409C15Rik,1075
6530411M01Rik,1076
6530413G14Rik,1077
6530437J22Rik,1078
6720427I07Rik,1079
6720468P15Rik,1080
6720483E21Rik,1081
6720489N17Rik,1082
6820408C15Rik,1083
7530416G11Rik,1084
7630403G23Rik,1085
8030423F21Rik,1086
8030423J24Rik,1087
8030442B05Rik,1088
8030451A03Rik,1089
8030453O22Rik,1090
8030456M14Rik,1091
8030462N17Rik,1092
8030474K03Rik,1093
8430419K02Rik,1094
8430423G03Rik,1095
8430426J06Rik,1096
8430429K09Rik,1097
8430430B14Rik,1098
8430432A02Rik,1099
8430436N08Rik,1100
8430437L04Rik,1101
9030025P20Rik,1102
9030204H09Rik,1103
9030404E10Rik,1104
9030407P20Rik,1105
9030612E09Rik,1106
9030624G23Rik,1107
9030625G05Rik,1108
9130008F23Rik,1109
9130015A21Rik,1110
9130015G15Rik,1111
9130015L21Rik,1112
9130016M20Rik,1113
9130017K11Rik,1114
9130019O22Rik,1115
9130019P16Rik,1116
9130023H24Rik,1117
9130024F11Rik,1118
9130204K15Rik,1119
9130213A22Rik,1120
9130221H12Rik,1121
9130227L01Rik,1122
9130230L23Rik,1123
9130230N09Rik,1124
9130401M01Rik,1125
9130409I23Rik,1126
9130410C08Rik,1127
9130604C24Rik,1128
9230009I02Rik,1129
9230102K24Rik,1130
9230102O04Rik,1131
9230104M06Rik,1132
9230109A22Rik,1133
9230111E07Rik,1134
9230112D13Rik,1135
9230112E08Rik,1136
9230112J17Rik,1137
9230114K14Rik,1138
9230116L04Rik,1139
9230116N13Rik,1140
9230117E06Rik,1141
9330020H09Rik,1142
9330102E08Rik,1143
9330104G04Rik,1144
9330111N05Rik,1145
9330117O12Rik,1146
9330118I20Rik,1147
9330121J05Rik,1148
9330136K24Rik,1149
9330151L19Rik,1150
9330154J02Rik,1151
9330154K18Rik,1152
9330158H04Rik,1153
9330159F19Rik,1154
9330159M07Rik,1155
9330160F10Rik,1156
9330162012Rik,1157
9330162B11Rik,1158
9330171B17Rik,1159
9330175E14Rik,1160
9330175M20Rik,1161
9330178D15Rik,1162
9330179D12Rik,1163
9330182L06Rik,1164
9330185C12Rik,1165
9330188P03Rik,1166
9330198I05Rik,1167
9330198N18Rik,1168
9330199G10Rik,1169
9430002A10Rik,1170
9430014N10Rik,1171
9430015G10Rik,1172
9430018G01Rik,1173
9430021M05Rik,1174
9430024E24Rik,1175
9430037G07Rik,1176
9430038I01Rik,1177
9430041J12Rik,1178
9430060I03Rik,1179
9430065F17Rik,1180
9430073C21Rik,1181
9430078K24Rik,1182
9430085M18Rik,1183
9430091E24Rik,1184
9430097D07Rik,1185
9530003J23Rik,1186
9530018F02Rik,1187
9530026F06Rik,1188
9530026P05Rik,1189
9530034E10Rik,1190
9530036M11Rik,1191
9530036O11Rik,1192
9530046B11Rik,1193
9530051G07Rik,1194
9530052C20Rik,1195
9530052E02Rik,1196
9530053A07Rik,1197
9530059O14Rik,1198
9530062K07Rik,1199
9530068E07Rik,1200
9530077C05Rik,1201
9530080O11Rik,1202
9530082P21Rik,1203
9530097N15Rik,1204
9630001P10Rik,1205
9630002D21Rik,1206
9630009A06Rik,1207
9630013A20Rik,1208
9630013D21Rik,1209
9630013K17Rik,1210
9630014M24Rik,1211
9630015K15Rik,1212
9630028B13Rik,1213
9630028H03Rik,1214
9630028I04Rik,1215
9630041A04Rik,1216
9830132P13Rik,1217
9830144P21Rik,1218
9830166K06Rik,1219
9930004E17Rik,1220
9930012K11Rik,1221
9930014A18Rik,1222
9930021J03Rik,1223
9930022D16Rik,1224
9930038B18Rik,1225
9930104L06Rik,1226
9930111H07Rik,1227
9930111J21Rik1,1228
9930111J21Rik2,1229
A030001D20Rik,1230
A030005L19Rik,1231
A030014E15Rik,1232
A130010J15Rik,1233
A130014A01Rik,1234
A130051J06Rik,1235
A130077B15Rik,1236
A1cf,1237
A230001M10Rik,1238
A230004M16Rik,1239
A230005M16Rik,1240
A230006K03Rik,1241
A230009B12Rik,1242
A230020J21Rik,1243
A230028O05Rik,1244
A230051N06Rik,1245
